,Diamond,Gold,Silver,Bronze
EUR,"10,000","6,000","3,000","1,000"
Conference dinner & one keynote speaker announced in your name,X,,,
Mailing list for attendees who opt in to receive communications,X,,,
One networking poster session announced in your name,,X,,
Space for an exhibition booth,all days,one day,,
Guarantee to present a poster (abstract submission required),,,X,X
Free registration(s),3,2,1,0
Promotion of your company on our social media platforms,X,X,X,
Logo on website and in all promotional material,eminent,large,standard,standard
Thank you posts on our social media platforms,X,X,X,X